TimeStamp,CPU Utilization,Memory Utilization,Package TDP,Max P-Core Frequency,Max E-Core Frequency,Active Core Count,Thermal Throttling,Package Temperature,Processor Cache Frequency,Power Limit Throttling,Current/EDP Limit Throttling,Motherboard VR Thermal Throttling,PMAX Throttling
2026-01-07_15-59-25-390,100,11953,242.7267,5.0801,3.9886,24,1,96,4.09,0,0,0,0
2026-01-07_15-59-26-400,100,11953,242.7267,5.0801,3.9886,24,1,96,4.09,0,0,0,0
2026-01-07_15-59-27-411,100,11953,247.9428,4.888,3.9808,24,1,98,4.1898,0,0,0,0
2026-01-07_15-59-28-427,100,11954,244.2756,4.7883,3.9881,24,1,100,4.2895,0,0,0,0
2026-01-07_15-59-29-427,100,11953,264.2397,5.078,3.9852,24,1,93,4.489,0,0,0,0
2026-01-07_15-59-30-433,100,11954,254.5439,5.0629,3.9766,24,1,95,4.1898,0,0,0,0
2026-01-07_15-59-31-441,100,11954,260.2544,4.888,3.9698,24,1,100,4.2895,0,1,0,0
2026-01-07_15-59-32-451,100,11954,253.6939,4.6885,3.9902,24,1,100,4.2895,0,0,0,0
2026-01-07_15-59-33-461,100,11955,227.3361,4.489,3.8905,24,1,95,4.09,0,0,0,0
2026-01-07_15-59-34-463,100,11955,248.0671,4.7883,3.9822,24,1,100,4.489,0,0,0,0
2026-01-07_15-59-35-477,100,11952,267.9403,4.888,3.9996,24,1,100,4.1898,0,0,0,0
2026-01-07_15-59-36-478,100,11950,270.5673,5.0482,3.9698,24,1,94,4.489,0,1,0,0
2026-01-07_15-59-37-488,100,11951,261.7793,4.888,3.9909,24,1,100,4.489,0,0,0,0
2026-01-07_15-59-38-504,100,11951,261.7793,4.888,3.9909,24,1,100,4.489,0,0,0,0
2026-01-07_15-59-39-513,99.9514,11951,250.0238,4.1898,3.5912,24,1,100,4.489,0,0,0,0
2026-01-07_15-59-40-515,100,11951,270.1114,5.043,3.9612,24,1,98,4.09,0,0,0,0
2026-01-07_15-59-41-517,100,11951,249.5929,4.9878,3.9709,24,1,95,4.489,0,0,0,0
2026-01-07_15-59-42-525,100,11951,229.1153,4.7883,3.9832,24,1,100,4.1898,0,0,0,0
2026-01-07_15-59-43-538,100,11950,289.6777,4.3893,3.7907,24,1,99,4.489,0,0,0,0
2026-01-07_15-59-44-548,100,11950,247.0391,5.0521,3.9708,24,1,97,4.3893,0,0,0,0
2026-01-07_15-59-45-549,100,11950,259.6019,4.7883,3.98,24,1,93,4.09,0,0,0,0
2026-01-07_15-59-46-558,100,11950,253.6322,5.0519,3.9806,24,1,98,4.489,0,0,0,0
2026-01-07_15-59-47-567,100,11950,246.7746,5.0539,3.9686,24,1,95,4.1898,0,0,0,0
2026-01-07_15-59-48-589,100,11950,250.1269,4.7883,3.963,24,1,100,4.489,0,0,0,0
2026-01-07_15-59-49-580,100,11950,240.8836,4.7883,3.9721,24,1,100,4.1898,0,0,0,0
2026-01-07_15-59-50-588,77.7575,11808,240.8836,4.7883,3.9721,24,1,100,4.1898,0,0,0,0
2026-01-07_15-59-51-594,2.636,11803,227.4957,4.6885,3.2919,24,1,100,2.2944,0,0,0,0
2026-01-07_15-59-52-606,3.2123,11807,10.5744,1.0973,2.3941,4,0,52,4.489,0,0,0,0
2026-01-07_15-59-53-617,6.2085,11804,8.8695,1.0973,2.3941,3,0,50,1.3966,0,0,0,0
2026-01-07_15-59-54-625,0.9983,11807,7.0581,2.6934,2.4546,5,0,49,1.7956,0,0,0,0
2026-01-07_15-59-55-635,2.3553,11804,7.108,1.3966,2.3941,3,0,50,1.7956,0,0,0,0
2026-01-07_15-59-56-643,9.0689,11804,6.8241,1.1971,2.3941,3,0,48,2.2944,0,0,0,0
2026-01-07_15-59-57-656,1.0754,11804,7.2653,1.0973,2.3941,7,0,49,2.6934,0,0,0,0
2026-01-07_15-59-58-666,0.6351,11802,8.044,1.0973,2.3941,1,0,48,0.798,0,0,0,0
2026-01-07_15-59-59-673,0.6829,11803,7.8656,1.8954,2.3941,3,0,47,1.7956,0,0,0,0
2026-01-07_16-00-00-684,4.8035,11806,7.7032,1.0973,2.3941,3,0,49,0.798,0,0,0,0
2026-01-07_16-00-01-693,0,11805,7.6182,1.3966,2.3941,3,0,47,1.8954,0,0,0,0
2026-01-07_16-00-02-702,2.4198,11803,7.6182,1.3966,2.3941,3,0,47,1.8954,0,0,0,0
2026-01-07_16-00-03-706,1.8039,11804,9.0168,1.0973,2.3941,3,0,47,4.489,0,0,0,0
2026-01-07_16-00-04-717,1.4089,11804,8.6466,1.0973,2.3941,3,0,47,0.9976,0,0,0,0
2026-01-07_16-00-05-724,4.1028,11861,11.2016,1.8954,2.3941,3,0,53,2.5937,0,0,0,0
2026-01-07_16-00-06-729,2.2872,11860,12.0063,1.4963,2.3941,5,0,49,1.6959,0,0,0,0
2026-01-07_16-00-07-738,2.7513,11858,7.0296,1.4963,2.3941,5,0,49,1.7956,0,0,0,0
2026-01-07_16-00-08-748,2.1207,11859,7.5449,2.0086,2.3941,3,0,48,1.7956,0,0,0,0
2026-01-07_16-00-09-756,1.6673,11860,8.0284,1.0973,2.3941,1,0,47,1.7956,0,0,0,0
2026-01-07_16-00-10-767,2.4811,11859,7.8603,1.1971,2.3941,2,0,47,0.798,0,0,0,0
2026-01-07_16-00-11-772,1.9759,11860,6.2959,2.056,2.3941,2,0,47,0.9976,0,0,0,0
2026-01-07_16-00-12-782,2.8124,11858,7.6506,1.6959,2.3941,3,0,47,0.798,0,0,0,0
2026-01-07_16-00-13-793,0.8909,11859,8.2058,1.7312,2.3941,3,0,47,4.489,0,0,0,0
