TimeStamp,CPU Utilization,Memory Utilization,Package TDP,Max P-Core Frequency,Max E-Core Frequency,Active Core Count,Thermal Throttling,Package Temperature,Processor Cache Frequency,Power Limit Throttling,Current/EDP Limit Throttling,Motherboard VR Thermal Throttling,PMAX Throttling
2026-01-06_13-12-48-656,100,10511,252.1598,4.888,3.9966,24,1,100,4.489,1,0,0,0
2026-01-06_13-12-49-677,100,10509,252.1598,4.888,3.9966,24,1,100,4.489,1,0,0,0
2026-01-06_13-12-50-688,100,10507,252.6031,5.0876,3.9889,24,1,98,4.2895,1,1,0,0
2026-01-06_13-12-51-697,100,10507,252.2403,5.1019,3.9843,24,1,98,4.489,1,1,0,0
2026-01-06_13-12-52-712,100,10507,254.151,5.1085,3.9814,24,1,100,4.489,1,1,0,0
2026-01-06_13-12-53-743,100,10507,251.3409,4.9878,3.9927,24,1,100,4.2895,1,1,0,0
2026-01-06_13-12-54-756,100,10508,251.1821,4.9878,3.9878,24,1,98,4.489,1,1,0,0
2026-01-06_13-12-55-779,100,10507,252.6483,5.1046,3.9829,24,1,98,4.489,1,1,0,0
2026-01-06_13-12-56-816,100,10506,252.8018,5.1034,3.9749,24,1,98,4.489,1,1,0,0
2026-01-06_13-12-57-828,100,10509,253.0268,5.0876,3.9898,24,1,94,4.3893,1,0,0,0
2026-01-06_13-12-58-847,100,10506,252.4819,4.9878,4.0096,24,1,97,4.3893,1,1,0,0
2026-01-06_13-12-59-870,100,10504,251.8256,5.1012,3.9848,24,1,100,4.489,1,1,0,0
2026-01-06_13-13-00-886,100,10506,252.6804,5.0876,3.9749,24,1,98,4.2895,1,1,0,0
2026-01-06_13-13-01-924,100,10503,253.1269,4.888,3.9903,24,1,92,4.2895,1,1,0,0
2026-01-06_13-13-02-946,100,10505,251.805,4.888,3.9902,24,1,97,4.489,1,1,0,0
2026-01-06_13-13-03-962,100,10504,251.805,4.888,3.9902,24,1,97,4.489,1,1,0,0
2026-01-06_13-13-04-968,100,10502,253.2621,4.7883,3.9902,24,1,98,4.2895,1,1,0,0
2026-01-06_13-13-05-996,100,10503,252.9127,5.0939,3.9875,24,1,98,4.09,1,1,0,0
2026-01-06_13-13-07-010,100,10503,250.659,5.0764,3.9803,24,1,100,4.489,1,1,0,0
2026-01-06_13-13-08-038,100,10501,253.2067,4.888,3.9902,24,1,95,4.2895,1,1,0,0
2026-01-06_13-13-09-045,100,10502,252.4233,4.9878,4.0081,24,1,100,4.1898,1,1,0,0
2026-01-06_13-13-10-053,100,10502,251.7092,5.0913,3.992,24,1,98,4.1898,1,1,0,0
2026-01-06_13-13-11-076,100,10502,252.4788,5.0753,3.967,24,1,100,4.09,1,1,0,0
2026-01-06_13-13-12-097,100,10502,252.3231,4.9878,3.9902,24,1,96,4.3893,1,1,0,0
2026-01-06_13-13-13-116,100,10502,251.3356,4.9878,3.9967,24,1,93,4.2895,1,0,0,0
2026-01-06_13-13-14-139,100,10500,251.1189,5.0817,4.0091,24,1,98,4.489,1,0,0,0
2026-01-06_13-13-15-142,100,10499,252.1372,5.0565,3.9864,24,1,100,4.1898,1,1,0,0
2026-01-06_13-13-16-162,100,10501,252.2042,4.888,4.0051,24,1,97,4.2895,1,0,0,0
2026-01-06_13-13-17-199,100,10500,252.2042,4.888,4.0051,24,1,97,4.2895,1,0,0,0
2026-01-06_13-13-18-216,100,10499,251.7379,4.888,4.0024,24,1,93,4.2895,1,1,0,0
2026-01-06_13-13-19-231,100,10500,250.5395,4.888,4.0005,24,1,100,4.489,1,1,0,0
2026-01-06_13-13-20-260,100,10499,251.7692,5.0621,4.0084,24,1,98,4.2895,1,1,0,0
2026-01-06_13-13-21-275,100,10495,251.1272,5.0431,3.9841,24,1,98,4.1898,1,1,0,0
2026-01-06_13-13-22-290,55.5872,10327,248.2551,4.888,3.9894,24,1,93,4.489,1,1,0,0
2026-01-06_13-13-23-301,9.2225,10324,62.3296,4.9918,3.993,24,1,59,1.2968,0,0,0,0
2026-01-06_13-13-24-307,1.8842,10318,8.2546,1.8466,1.6656,7,0,51,1.1971,0,0,0,0
2026-01-06_13-13-25-312,4.0975,10324,9.2196,1.2968,1.0074,8,0,49,0.798,0,0,0,0
2026-01-06_13-13-26-331,3.0942,10323,7.1474,1.0973,0.8978,5,0,49,1.2968,0,0,0,0
2026-01-06_13-13-27-339,12.755,10326,8.6322,1.5697,1.0046,7,0,49,0.798,0,0,0,0
2026-01-06_13-13-28-351,24.5339,10327,11.1532,2.0327,1.5961,10,0,49,1.7956,0,0,0,0
2026-01-06_13-13-29-356,0,10274,8.0654,1.3966,1.1513,4,0,47,1.0973,0,0,0,0
2026-01-06_13-13-30-366,11.593,10279,8.0654,1.3966,1.1513,4,0,47,1.0973,0,0,0,0
2026-01-06_13-13-31-375,15.3992,10278,10.9203,1.87,1.2501,8,0,49,4.489,0,0,0,0
2026-01-06_13-13-32-381,4.3054,10277,14.099,1.9788,1.1668,11,0,49,1.4963,0,0,0,0
