TimeStamp,CPU Utilization,Memory Utilization,Package TDP,Max P-Core Frequency,Max E-Core Frequency,Active Core Count,Thermal Throttling,Package Temperature,Processor Cache Frequency,Power Limit Throttling,Current/EDP Limit Throttling,Motherboard VR Thermal Throttling,PMAX Throttling
2026-01-07_16-31-40-767,4.3495,12149,57.0381,5.592,3.6862,4,0,58,4.5888,0,0,0,0
2026-01-07_16-31-41-778,4.4536,12149,58.2767,5.6137,3.6506,4,0,67,4.5888,0,0,0,0
2026-01-07_16-31-42-782,5.3159,12148,58.2767,5.6137,3.6506,4,0,67,4.5888,0,0,0,0
2026-01-07_16-31-43-794,4.6621,12213,58.2873,5.7858,3.4859,3,0,75,4.9878,0,0,0,0
2026-01-07_16-31-44-802,5.2584,12210,63.7243,5.7028,4.0461,6,0,69,4.5888,0,0,0,0
2026-01-07_16-31-45-812,3.3969,12210,61.6798,5.6736,3.6301,4,0,57,1.7956,0,0,0,0
2026-01-07_16-31-46-819,5.2838,12210,59.1258,5.6363,2.3941,4,0,73,4.489,0,0,0,0
2026-01-07_16-31-47-829,3.6977,12207,64.6379,5.6408,3.5451,3,0,58,4.489,0,0,0,0
2026-01-07_16-31-48-836,3.8183,12205,62.6003,5.5779,3.9478,4,0,71,4.489,0,0,0,0
2026-01-07_16-31-49-847,4.1519,12189,61.0788,5.6206,3.4799,4,0,73,4.5888,0,0,0,0
2026-01-07_16-31-50-857,5.6358,12187,61.6581,5.5291,2.8339,4,0,53,4.5888,0,0,0,0
2026-01-07_16-31-51-865,5.5168,12189,60.3264,5.6514,2.4358,4,0,52,4.9878,0,0,0,0
2026-01-07_16-31-52-875,4.0249,12188,63.7289,5.7023,3.5783,3,0,65,4.5888,0,0,0,0
2026-01-07_16-31-53-883,3.4909,12187,54.8252,5.4876,2.3941,5,0,74,4.5888,0,0,0,0
2026-01-07_16-31-54-897,4.3462,12186,54.8252,5.4876,2.3941,5,0,74,4.5888,0,0,0,0
2026-01-07_16-31-55-902,4.5764,12186,59.3939,5.6709,2.6525,4,0,53,4.5888,0,0,0,0
2026-01-07_16-31-56-911,4.7149,12186,59.8915,5.6734,3.6746,4,0,77,4.9878,0,0,0,0
2026-01-07_16-31-57-918,4.2619,12186,56.5841,5.553,3.8985,4,0,64,4.5888,0,0,0,0
2026-01-07_16-31-58-929,4.4213,12185,62.2016,5.6525,2.7302,4,0,56,4.5888,0,0,0,0
